jogador,nacao,posicao,idade,minPor90,gols,assist
Felipe Marques, BRA,"LT,AT",32,7.5,0,1
Willian Arão, BRA,"LT,ZG",29,10.2,2,0
Germán Cano, ARG,AT,34,14.9,10,1
Marcelo, BRA,ZG,26,15.6,0,0
André, BRA,AT,31,6.5,2,0
Hugo Souza, BRA,G,23,10.0,0,0
Tadeu, BRA,G,30,17.0,0,0
André, BRA,LT,21,13.5,1,1
Moises, BRA,"AT,LT",25,12.6,3,1
Camilo, BRA,LT,23,8.3,0,0
Thiago Maia, BRA,"LT,ZG",25,8.9,0,0
Dieguinho, BRA,"LT,ZG",26,13.8,0,2
Daniel, BRA,G,28,16.0,0,0
Ganso, BRA,LT,32,11.1,2,1
Yago Pikachu, BRA,LT,30,13.4,4,0
André Luis, BRA,"LT,AT",25,7.2,1,0
Andreas Pereira, BRA,LT,26,8.8,2,1
Murilo Cerqueira, BRA,ZG,25,14.5,1,0
Reynaldo Cesar Moraes, BRA,ZG,25,13.6,0,0
Edenílson, BRA,LT,32,13.4,3,1
Manoel, BRA,ZG,32,12.0,3,1
Titi, BRA,ZG,34,12.9,0,0
Rodriguinho Marinho, BRA,"AT,LT",34,7.2,1,0
Pablo, BRA,ZG,31,7.6,0,0
Zé Rafael, BRA,LT,29,13.5,3,1
João Paulo, BRA,G,27,16.0,0,0
Pedro Raul, BRA,AT,25,12.4,8,0
Fabricio Bustos, ARG,ZG,26,12.7,1,2
Luiz Henrique, BRA,"LT,AT",21,11.7,2,3
Juninho Capixaba, BRA,"LT,ZG",25,12.6,0,2
Alesson, BRA,LT,23,5.2,2,0
David Luiz, BRA,"ZG,LT",35,7.3,0,0
Jandrei, BRA,G,29,16.3,0,0
Dudu, BRA,"LT,AT",30,13.2,3,1
Vinícius Zanocelo, BRA,LT,21,13.0,3,0
Caetano, BRA,ZG,23,12.3,0,0
Gabriel, BRA,LT,30,13.3,0,0
Samuel Xavier, BRA,ZG,32,11.5,1,2
Lucas Lima, BRA,"LT,AT",32,10.3,0,2
Éverton, BRA,LT,33,4.4,1,0
Bruno Henrique, BRA,"LT,AT",31,6.8,1,2
Jonathan Calleri, ARG,AT,28,15.4,9,1
Wéverton, BRA,G,34,14.0,0,0
Eduardo Gabriel, BRA,ZG,26,15.0,1,1
Adailson Dadá, BRA,"LT,ZG",25,12.1,0,0
Carlos de Pena, URU,LT,30,12.6,2,2
Nino, BRA,ZG,25,11.4,0,0
Felipe, BRA,LT,28,9.6,0,1
Paulão, BRA,ZG,36,4.4,0,0
Rodrigo Caio, BRA,ZG,28,6.5,0,0
Igor Gomes, BRA,LT,23,14.8,0,2
Rony, BRA,AT,27,13.0,7,0
Rodrigo Fernández, URU,LT,26,13.6,0,0
Caio Vinícius, BRA,LT,23,10.4,0,0
Vitão, BRA,ZG,22,11.0,1,0
Jhon Arias, COL,"LT,AT",24,10.0,1,3
Marcelo Boeck, BRA,G,37,10.0,0,0
Kelvin Osorio, COL,LT,28,3.6,0,0
Pedro, BRA,AT,25,7.0,2,2
Léo Pelé, BRA,ZG,26,13.1,0,0
Gustavo Scarpa, BRA,"LT,AT",28,12.4,3,5
Marcos Leonardo, BRA,AT,19,12.9,6,1
Elvis Vieira Araújo, BRA,"LT,AT",31,9.4,4,2
Gabriel Mercado, ARG,ZG,35,10.9,0,0
Wellington Martins, BRA,LT,31,6.9,0,1
José Welison, BRA,LT,27,10.0,2,0
Marcão Silva, BRA,LT,31,4.9,0,0
Lázaro, BRA,LT,20,4.9,0,2
Diego, BRA,ZG,22,13.3,0,0
Danilo, BRA,LT,21,11.8,1,0
Léo Baptistão, BRA,"LT,AT",29,11.0,4,1
Matheus Sales, BRA,"LT,AT",27,10.1,0,0
Wanderson, BRA,"LT,AT",27,8.0,4,0
David Braz, BRA,ZG,35,5.9,0,0
Brayan Ceballos, COL,ZG,21,9.8,0,0
Jenison, BRA,AT,31,3.3,1,0
Léo Pereira, BRA,ZG,26,4.9,0,0
Rafinha, BRA,"ZG,LT",36,12.0,0,2
Gustavo Gómez, PAR,ZG,29,11.0,6,0
Lucas, BRA,ZG,21,11.9,0,0
Danilo Barcelos, BRA,"ZG,LT",30,8.2,0,1
Renê, BRA,ZG,29,9.0,0,0
Caio Paulista, BRA,ZG,24,8.2,0,3
Silvio Romero, ARG,AT,33,7.9,0,2
Joaquim, BRA,ZG,23,3.0,1,0
Vitinho, BRA,"AT,LT",28,4.5,0,0
Rodrigo Nestor, BRA,LT,21,11.0,1,0
Joaquín Piquerez, URU,ZG,23,10.1,0,1
Maicon, BRA,ZG,33,11.2,0,2
Apodi, BRA,"LT,AT",35,7.5,1,1
David, BRA,AT,26,7.6,0,2
Yago, BRA,"LT,ZG",27,6.3,0,0
Hércules, BRA,LT,21,7.4,1,0
Cristian Rivas, VEN,LT,25,2.4,0,0
Santos, BRA,G,32,4.0,0,0
Luciano, BRA,"AT,LT",29,8.6,6,0
Marcos Rocha, BRA,ZG,33,9.5,0,1
Mádson, BRA,ZG,30,10.6,0,1
Vinícius, BRA,"AT,LT",28,7.5,0,1
Alan Patrick, BRA,"LT,AT",31,6.1,2,2
Nonato, BRA,LT,24,6.8,0,2
Lucas Crispim, BRA,"LT,ZG",28,6.6,0,0
Élton Rodrigues Brandão, BRA,AT,36,3.3,1,0
Mauricio Isla, CHI,"ZG,LT",34,3.8,1,0
Patrick, BRA,"LT,AT",29,8.7,3,1
Raphael Veiga, BRA,LT,27,8.2,1,3
Jhojan Julio, ECU,"LT,AT",24,8.3,0,2
Fellipe Bastos, BRA,LT,32,7.6,0,1
Moisés, BRA,ZG,27,5.6,2,1
Matheus Martins, BRA,LT,19,4.7,2,0
Romarinho, BRA,"AT,LT",28,5.8,2,2
Igor Cariús, BRA,ZG,29,2.4,0,0
Filipe Luís, BRA,ZG,36,3.6,0,0
Welington, BRA,"ZG,LT",21,9.2,0,2
Luan Garcia, BRA,ZG,29,6.5,0,1
Lucas Braga, BRA,"LT,ZG",25,10.0,1,0
Maguinho, BRA,"ZG,LT",29,6.5,0,0
Rodrigo Moledo, BRA,ZG,34,5.1,0,0
Nathan, BRA,"LT,AT",26,3.5,0,1
Anthony Landazuri, ECU,ZG,25,5.8,0,0
Daniel Guedes, BRA,ZG,28,2.4,0,0
Marinho, BRA,"LT,AT",32,4.6,1,1
Robert Arboleda, ECU,ZG,30,8.0,0,0
Gabriel Veron, BRA,"LT,AT",19,5.6,0,3
Felipe Jonatan, BRA,"ZG,LT",24,6.0,0,0
Da Silva, BRA,ZG,21,6.3,1,0
Mauricio, BRA,"LT,AT",21,5.4,0,1
Matheus Martinelli, BRA,LT,21,3.4,0,1
Robson, BRA,AT,31,5.5,2,1
Marquinhos, BRA,LT,25,2.2,0,1
Gustavo Henrique, BRA,ZG,29,3.8,1,0
Pablo Maia, BRA,"LT,ZG",20,7.7,0,0
Jorge, BRA,ZG,26,4.9,0,0
Emiliano Velázquez, URU,ZG,28,6.0,0,0
Sidimar, BRA,ZG,30,5.0,0,0
Rodrigo Dourado, BRA,LT,28,5.0,0,0
Luccas Claro, BRA,ZG,30,4.7,0,0
Jussa, BRA,LT,26,5.4,0,1
João Carlos, BRA,G,34,2.0,0,0
Rodinei, BRA,"ZG,LT",30,3.0,0,1
Reinaldo, BRA,LT,32,6.2,1,1
Gabriel Menino, BRA,LT,21,4.2,0,0
Guilherme Camacho, BRA,LT,32,4.8,0,0
Yan Souto, BRA,ZG,20,5.0,0,0
Alexandre Alemão, BRA,AT,24,6.1,3,1
Willian, BRA,"LT,AT",35,3.4,0,1
Max Walef, BRA,G,28,5.0,0,0
Jonathan Cafu, BRA,LT,31,1.6,0,0
Diego Alves, BRA,G,37,3.0,0,0
Alisson, BRA,"LT,AT",29,6.3,0,1
Rafael Navarro, BRA,AT,22,6.0,0,1
Brayan Angulo, ECU,"LT,AT",26,4.5,1,1
Sidnei, BRA,ZG,32,3.3,0,0
Pedro Henrique, BRA,"LT,AT",32,5.5,1,1
Lucas Felipe Calegari, BRA,"LT,ZG",20,3.4,0,0
Matheus de Vargas, BRA,LT,26,3.9,0,0
Vinicius Melo, BRA,G,23,16.0,13,4
Victor Hugo, BRA,LT,18,2.3,0,0
Igor Vinícius de Souza, BRA,LT,25,6.1,0,1
Mayke, BRA,"ZG,LT",29,4.0,0,0
Ricardo Goulart, BRA,LT,31,4.5,0,0
Nicolas, BRA,AT,32,5.0,2,1
Taison, BRA,"LT,AT",34,5.4,1,1
Cristiano da Silva Leite, BRA,"ZG,LT",28,3.1,0,1
Ronald, BRA,LT,25,3.8,0,0
Gustavo Nescau, BRA,AT,22,16.0,16,10
Diego, BRA,LT,37,1.9,1,0
Miranda, BRA,ZG,37,6.0,0,0
Wesley, BRA,LT,23,3.3,1,1
Ângelo Borges, BRA,LT,17,3.9,0,2
Auremir, BRA,LT,30,2.6,0,0
Bruno Méndez, URU,ZG,22,4.8,1,0
Marlon, BRA,"ZG,LT",25,3.0,0,0
Guilherme Tinga, BRA,ZG,28,3.1,0,0
Fabrício Bruno, BRA,ZG,26,1.0,0,0
Éder, ITA,"AT,LT",35,5.6,1,0
Marcelo Lomba, BRA,G,35,2.0,0,0
Auro, BRA,ZG,26,3.5,0,0
Hugo, BRA,ZG,24,2.0,0,0
Wesley Moraes, BRA,AT,25,3.3,0,0
Mario Pineida, ECU,ZG,30,3.0,0,0
Habraão, BRA,ZG,21,2.1,1,0
Matheus França, BRA,LT,18,0.8,0,0
Gabriel Neves, URU,LT,24,2.8,0,0
Breno, BRA,LT,26,2.2,0,0
Sandry, BRA,LT,19,4.2,0,1
Juan Pablo, BRA,"LT,ZG",20,1.4,0,0
Heitor, BRA,ZG,21,3.5,0,0
Fred, BRA,AT,38,1.4,1,0
Fernando Miguel, BRA,G,37,2.0,0,0
Marcos Paulo, BRA,ZG,19,0.3,0,0
Andrés Colorado, COL,LT,23,2.0,0,0
Benjamín Kuscevic, CHI,ZG,26,1.1,0,1
Rwan, BRA,"LT,AT",21,4.1,2,0
Henrique Lordelo, BRA,LT,22,1.0,0,0
Johnny Cardoso, USA,LT,20,3.4,1,1
Felipe Melo, BRA,"ZG,LT",39,2.6,0,0
Vitor Ricardo, BRA,LT,22,1.3,0,0
Daniel Cabral, BRA,LT,20,17.0,20,19
Nikão, BRA,"LT,AT",29,2.2,1,0
Eduard Atuesta, COL,LT,25,2.0,0,0
Carlos Sánchez, URU,LT,37,1.6,0,0
Renato Junior, BRA,AT,20,2.1,0,1
Kaique Rocha, BRA,ZG,21,3.2,0,0
John Kennedy, BRA,AT,20,1.3,0,0
Renato Kayser, BRA,"AT,LT",26,1.8,0,0
Cleiton, BRA,ZG,19,17.0,16,8
César Reis, BRA,G,27,17.0,0,0
Talles Costa, BRA,LT,19,2.1,0,0
García, BRA,ZG,20,1.0,0,0
Bruno Oliveira, BRA,LT,24,3.0,0,1
Luan Dias, BRA,AT,24,1.4,0,0
Liziero, BRA,"LT,ZG",24,2.7,0,0
Alexandre Jesus, BRA,AT,20,0.6,0,0
Valentín Depietri, ARG,LT,21,1.4,0,0
Jadson, BRA,LT,28,15.4,1,0
Anderson Lima, BRA,LT,22,1.8,0,0
Fabinho, BRA,LT,20,0.8,0,0
Willian Maranhão, BRA,LT,26,1.8,0,0
Matheus Santos, BRA,LT,23,0.1,0,0
Thauan Lara, BRA,"LT,ZG",18,1.8,0,0
David Duarte, BRA,ZG,27,0.4,0,0
Igor Torres, BRA,AT,22,0.1,0,0
Rafael Forster, BRA,ZG,31,15.1,0,0
Luan, BRA,LT,23,1.0,0,0
Kaiky Naves, BRA,LT,20,0.4,0,0
Luis Felipe, BRA,ZG,28,1.0,0,0
Pedro Oliveira, BRA,LT,18,1.5,0,0
Caio Vidal, BRA,LT,21,1.7,0,0
Muriel Becker, BRA,G,35,17.0,23,22
David, BRA,AT,22,0.0,0,0
Rodrigo Alves Soares, BRA,ZG,29,13.2,1,0
Emiliano Rigoni, ARG,LT,29,2.7,0,0
Jailson Siqueira, BRA,LT,26,0.2,0,0
John, BRA,G,26,1.0,0,0
Luan, BRA,"AT,LT",31,0.5,0,0
Keiller, BRA,G,25,1.0,0,0
Marcos Felipe, BRA,G,26,17.0,16,9
Alix, BRA,ZG,22,17.0,15,12
Chico, BRA,LT,31,11.2,0,2
Luizão, BRA,ZG,20,1.6,0,0
Giovani, BRA,AT,18,0.2,0,0
Kaiky, BRA,ZG,18,1.0,0,0
Luis Silva, BRA,AT,21,0.4,0,0
Matheus Cadorini, BRA,AT,19,1.0,0,0
Ángelo Henríquez, CHI,AT,28,17.0,19,14
Yuri Oliveira Lima, BRA,LT,27,10.9,0,0
Patryck, BRA,ZG,19,0.3,0,0
Gabriel Vieira, BRA,AT,20,0.1,0,0
Lucas Barbosa, BRA,LT,21,1.5,1,0
Pedro Bahia, BRA,LT,20,0.3,0,0
Andrés D'Alessandro, ARG,AT,41,0.8,1,0
Isidro Pitta, PAR,AT,22,10.0,1,0
Thiago, BRA,G,23,0.7,0,0
Vanderlan, BRA,ZG,19,0.1,0,0
Gabriel Pirani, BRA,LT,20,0.5,0,0
Vitor Hugo, BRA,AT,18,0.0,0,0
Gabriel Boschilia, BRA,LT,26,0.6,0,1
William Matheus, BRA,ZG,32,8.8,0,0
Gabriel, BRA,LT,23,0.5,0,0
Pedro Bicalho, BRA,LT,21,0.0,0,0
Marcos Guilherme, BRA,"AT,LT",26,0.3,0,0
Danilo Batista, BRA,LT,20,17.0,16,10
Estevão, BRA,AT,20,0.4,0,0
Vitor Mendes, BRA,ZG,23,7.9,1,0
Marquinhos, BRA,AT,19,0.3,0,0
Lucas Freitas, BRA,ZG,21,16.0,26,19
Vinicius, BRA,LT,23,0.0,0,0
Lincon, BRA,LT,20,17.0,19,13
Lucas Ramos, BRA,LT,21,0.0,0,0
Ricardo Bueno, BRA,AT,34,7.8,2,0
Jonas, BRA,LT,23,0.3,0,1
Jhonatan Jowjow, BRA,LT,19,16.0,12,4
Diogenes, BRA,G,21,17.0,19,13
Anthoni, BRA,G,20,17.0,23,16
Jean, BRA,LT,27,7.7,0,0
João Moreira, POR,ZG,18,0.1,0,0
Kevyson, BRA,LT,18,17.0,15,8
Matheus Dias, BRA,LT,25,17.0,15,10
Capixaba, BRA,"LT,AT",25,6.8,0,0
Rodrigo, BRA,LT,18,0.0,0,0
Óscar Ruiz, PAR,"AT,LT",31,6.3,3,0
Lucas Beraldo, BRA,ZG,18,17.0,22,12
Thalisson Kelven, BRA,ZG,24,6.7,0,0
Caio Matheus, BRA,AT,22,17.0,18,12
Paulo Henrique, BRA,"LT,ZG",25,5.9,1,0
Moraes, BRA,ZG,24,5.0,1,0
Paulo Miranda, BRA,ZG,33,4.7,0,0
Paulinho Moccelin, BRA,LT,28,4.3,0,1
Busanello, BRA,ZG,23,3.2,0,2
Marlon, BRA,"LT,AT",32,1.7,0,0
Vitor Gabriel, BRA,AT,22,4.3,1,0
Guilherme Parede, BRA,"LT,AT",26,3.1,0,1
Edinho, BRA,LT,27,2.9,0,1
Romulo, BRA,ZG,22,1.9,1,0
Darlan Mendes, BRA,LT,24,1.3,0,0
Bruninho, BRA,AT,22,1.3,0,0
Elton, BRA,LT,32,0.5,0,0
Gabriel Neris, BRA,LT,20,0.1,0,0
Felipe Alves Raymundo, BRA,G,34,17.0,13,7
Danilo Boza, BRA,ZG,24,17.0,26,21
